calc_cpc,impressions,campaign_id,campaign_name,spend,landing_page_view,current_time,calc_ctr
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:50:34 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:51:06 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:51:57 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:54:33 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:55:25 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:56:42 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 15:58:47 2020,0.0067
33.84,23426,23844595095050758,Curren 8225@ May 17 - July 4,5313.46,157,Thu Jul  2 16:00:14 2020,0.0067
33.78,23363,23844595095050758,Curren 8225@ May 17 - July 4,5303.55,157,Thu Jul  2 16:00:48 2020,0.0067
33.84,23426,23844595095050758,Curren 8225@ May 17 - July 4,5313.46,157,Thu Jul  2 16:01:44 2020,0.0067
33.84,23426,23844595095050758,Curren 8225@ May 17 - July 4,5313.46,157,Thu Jul  2 16:02:25 2020,0.0067
33.84,23426,23844595095050758,Curren 8225@ May 17 - July 4,5313.46,157,Thu Jul  2 16:03:21 2020,0.0067
33.84,23426,23844595095050758,Curren 8225@ May 17 - July 4,5313.46,157,Thu Jul  2 16:05:45 2020,0.0067
