product_title,product_vendor,net_quantity,total_sales,total_cost
BIDEN Watch Men Fashion Sport Quartz Clock Full Steel Business Waterproof Watch,BIDEN,1,10500,7120
Bostanten Men's Expandable Briefcase Laptop Bag,BOSTANTEN,1,9600,6280
Bostanten Men's Genuine Leather Belt,BOSTANTEN,2,9600,5840
Bostanten Men's Genuine Leather RFID Blocking Vintage Wallet,BOSTANTEN,5,25000,15440
Bostanten Men's Genuine Leather Wallet,BOSTANTEN,4,28000,18064
CCQ Fashion Luxury Women Bracelet Watches Ladies Quartz Watch Casual Women Wristwatches,CCQ,1,2500,1072
CURREN Casual Date Quartz  Watches Fashion Leather Sports Wristwatch Chronograph Watch,CURREN,3,26400,17580
CURREN Chronograph Quartz Clock Leather Wristwatch,CURREN,1,9000,5944
CURREN Fashion Business Watches Men Creative Design Dial Quartz Watch Stainless Steel Band Wristwatch,CURREN,1,7000,4516
CURREN Fashion Chronograph Leather Strap Luminous Waterproof Quartz Wristwatch,CURREN,4,40400,27472
CURREN Military Leather Strap Wrist Watch 8301,CURREN,2,17800,11720
CURREN Trendy Women Watch,CURREN,2,11800,6720
CURREN Watch 8023,CURREN,15,90000,50100
CURREN Watch 8225,CURREN,36,198000,120240
CURREN Watch 8329,CURREN,8,80000,53600
CURREN Watch 9015,CURREN,6,31800,20040
CURREN Women's Luxury Watch 9016,CURREN,1,5900,3760
F3 Smart Watch Waterproof Smart Bracelet For IOS Android Heart Rate Blood Pressure Monitoring Wristband GPS Track Movement IP68,POSHI,2,10400,6596
Fashion New Mens Stainless Steel Date Military Quartz Analog Wrist Watch,SUSENSTONE,1,3950,
FOCALLURE Big Cover Liquid Concealer Moisturizing Oil-control Waterproof Contour Makeup Face Primer Face Cream Concealer,FOCALLURE,5,6167.67,
FOCALLURE Bold Colours Eyeshadow Palette,FOCALLURE,2,4894.31,
FOCALLURE Daily Waterproof Face 4 in 1 Makeup Set (FA96+ FA01+ FA01+FA18),FOCALLURE,1,5900,2886
FOCALLURE Eyes Comestic Waterproof Eyebrow Gel Makeup Long Lasting Liquid Eyebrow Gel,FOCALLURE,1,1100,
FOCALLURE Full Cover Effect 3 in 1 Makeup Set (FA30+FA16+FA53),FOCALLURE,1,4700,2878
FOCALLURE Full Coverage Mineral Face Powder,FOCALLURE,6,7392.8,
FOCALLURE Full Coverage Oil Control Matt Make-up Foundation,FOCALLURE,7,16386.35,
FOCALLURE Full Coverage Oil-control Liquid Make-Up Foundation,FOCALLURE,6,9179.38,
Focallure Glamourous Waterproof Eyebrow Pen,FOCALLURE,3,3300,
FOCALLURE Illuminating Waterproof Full Face Coverage Makeup Set (FA96+ FA01+ FA01),FOCALLURE,4,19200,11512
Focallure Moisturizing Setting Spray (FA96),FOCALLURE,1,2532.47,
FOCALLURE Oil-control Facial Makeup Primer,FOCALLURE,1,2200,
FOCALLURE Professional 3D Dramatic And Lengthening Waterproof Mascara,FOCALLURE,1,1215.58,
Focallure Professional Full & Medium Coverage Face Makeup Set ( FA30+FA31+FA16),FOCALLURE,3,11400,6618
Focallure Velvet Lacquer Lipstick (FA59),FOCALLURE,3,6300,
Forsining Men Watches Luxury Mechanical Skeleton Watch,FORSINING,14,100800,63224
Gildan 76000L Premium Cotton Ladies Ring Spun T-Shirt,GILDAN,1,2500,
GILDAN Adult Hoodie Sweatshirt 88500,GILDAN,1,5300,
GILDAN Adult Sweatshirt 88000,GILDAN,1,4100,
GILDAN HA30 Hammer Adult T-Shirt with Pocket,GILDAN,4,14000,7480
Gildan Premium Cotton Adult 3/4 Sleeve Raglan T-Shirt 76700,GILDAN,4,11200,6976
Gildan Premium Cotton Adult Long Sleeve T-Shirt 76400,GILDAN,39,136500,71292
GILDAN Premium Cotton MEN?€?S TANK TOP 76200,GILDAN,14,30800,18410
GILDAN Premium Cotton Super Comfortable Double Pique Unisex Polo T-Shirt,GILDAN,1,4900,
Gildan Softstyle Adult T-Shirt 63000,GILDAN,21,46800,26886.72
H8 Bluetooth Sports Bracelet Pedometer Fitness Tracker Watch For Android IOS Smart Wristband Smart Watch,POSHI,2,11600,7520
H8 Smart Watch,POSHI,1,5800,3760
Hot Women Casual Quartz Wrist Watch,SUSENSTONE,3,6900,3468
Kimio Watch 6133,Kimio,3,22200,
KINYUED Skeleton Tourbillon Mechanical Automatic Classic Leather Wrist Watches 1012,KINYUED,4,70400,43600
KINYUED Watch 1012,KINYUED,2,35200,21800
KINYUED Watch JYD-J062,KINYUED,1,26000,13760
Luxury Quartz Stainless Steel Wrist Watch,SUSENSTONE,1,1900,904
Luxury Watch Gold CURREN Watches Stainless Steel Quartz Wristwatch Auto Date Clock,CURREN,1,7100,4600
MIGEER G2004 Analog Digital Wristwatch,MIGEER,14,29400,16066.4
MIGEER G2013 Luxury Men Business Casual Watches,MIGEER,6,12600,6532.8
MIGEER Men's Stylish Fashion Watch,MIGEER,2,4800,1870.16
MIGEER MG-278 Fashion Faux Leather Men's Watch,MIGEER,9,18000,8415.72
NAVIFORCE Luxury Brand Men?€?s Sports Watch,NAVIFORCE,1,17700,11992
NAVIFORCE Luxury Military Design Men's Watch NF9063,NAVIFORCE,1,12900,8632
NAVIFORCE Stainless Fashion Watch NF9165,NAVIFORCE,1,21300,14512
NAVIFORCE Top Brand Luxury Waterproof Leather Watch NF9099,NAVIFORCE,1,9000,5608
NEMO 05 5000mAh Power Bank,Riversong,1,0,2752
NITE 6GN Power Bank,NITE,2,10200,5200
ORIENTAL SELECTED Belted Stretchy Form-Fitting Women's Boot-Cut Jeans Trousers,Oriental Selected,4,26400,17056
ORIENTAL SELECTED Checked Tote Women's Shoulder 4 in 1 Bag Set,Oriental Selected,7,59500,39256
ORIENTAL SELECTED Elegant Women's Shoulder Leather & Chain Strap Bag,Oriental Selected,14,88200,56168
ORIENTAL SELECTED Formal Women's Leather Hand Bag With Outer Pouch,Oriental Selected,2,14600,9536
ORIENTAL SELECTED Luxurious Women's Leather Hand Bag,Oriental Selected,5,29500,18800
ORIENTAL SELECTED Shape-Fit Skinny High-Waist Ripped Stretchy Women's Jeans,Oriental Selected,1,6100,3928
ORIENTAL SELECTED Structured Animal Print Chain Design Women's Hand Bag,Oriental Selected,2,15400,10040
ORIENTAL SELECTED Stylish Chain Shoulder Strap Women's Bag,Oriental Selected,3,12800,21108
ORIENTAL SELECTED Tassel Knapsack Back Pack With Handle,Oriental Selected,1,6500,4180
ORIENTAL SELECTED Tote 3 IN 1 Shoulder Bag Set,Oriental Selected,1,9300,6112
Poshi D13 Android and Apple Smart Watch WhatsApp Facebook SMS Incoming Call Waterproof Watch,POSHI,6,33000,20040
Poshi M4 Android and Apple Smart Watch WhatsApp Facebook SMS Incoming Call Waterproof Watch,POSHI,6,27000,13740
"R12 Smart Watch, IP67 Waterproof Sports Fitness Smart Bracelet Music WhatsApp Facebook SMS",POSHI,1,6900,4515.16
Retro Design Leather Band Analog Quartz Wrist Watch Mens Watches,MIGEER,2,3800,1892
SACE LADY 4 Colors Highlighter Palette Makeup Face Contour Powder Bronzer Make Up Blusher Professional Blush Palette Cosmetics,SACE LADY,1,1392.86,
SACE LADY Compact Powder Oil Control Matte Makeup Setting Pressed Powder Pores Invisible Mate Make Up Natural Finish Cosmetics,SACE LADY,7,8743.56,
SACE LADY Daily 3 IN 1 Face Makeup Set (SL236+SL265+SL342),SACE LADY,1,3500,1639.84
Sace Lady Daily Full Face Makeup Set (SL222+SL232+SL211+PU),SACE LADY,7,31500,12343.24
SACE LADY Eyebrow Pencil Makeup Professional Eye Brow Pen Make Up Tint Waterproof Eyebrow Paint Shade Natural Brand Cosmetics,SACE LADY,3,3536.85,
SACE LADY Face Base Primer Makeup Liquid Matte Make Up Fine Lines Oil-control Facial Cream Brighten Foundation Primer Cosmetic,SACE LADY,2,2270.47,
SACE LADY Face Blusher Powder Makeup Matte Blush Professional Cheek Rouge Make Up Natural Peach Cosmetic,SACE LADY,2,2466.67,
SACE LADY Face Concealer Cream Full Cover Makeup Liquid Facial Corrector Waterproof Base Make Up for Eye Dark Circles Cosmetic,SACE LADY,3,3805.9,
SACE LADY Face Foundation Cream Base Makeup Professional Matte Finish Make Up Liquid Concealer Waterproof Brand Natural Cosmetic,SACE LADY,5,6596.14,
SACE LADY Face Loose Powder Matte Finish Transparent Setting Powder Professional Translucent Makeup Oil-control Compact Cosmetic,SACE LADY,5,7621.75,
Sace Lady Flawless Face MakeUp Set  (SL218+SL234+SL222),SACE LADY,6,22200,11426.64
SACE LADY Full Cover 8 Colors Liquid Concealer Makeup 6ml Eye Dark Circles Cream Face Corrector Waterproof Make Up Base Cosmetic,SACE LADY,1,1300,
SACE LADY Full Cover Pro Concealer Cream Makeup Face Corrector Liquid Make Up Base For Eye Dark Circles Facial Natural Cosmetic,SACE LADY,2,2363.44,
SACE LADY Glitter Eyeshadow Palette Waterproof Makeup Pigment Cosmetics 6 Colors Shimmer Eye Shadow Pallete Matte Naked Make Up,SACE LADY,1,1500,
SACE LADY Glitter Liquid Highlighter 3D Face Illuminator Professional Shimmer Glow Make Up Cream Facial Bronzer Contour Cosmetic,SACE LADY,3,4800,
SACE LADY GLOW 3 IN 1 Makeup Set (SL241+SL602+SL320),SACE LADY,1,4100,2191.72
SACE LADY Liquid Eyeliner Waterproof Makeup Black Eye Liner Pencil Long Lasting Make Up Smudge-proof Pen Natural Brand Cosmetic,SACE LADY,1,1300,
SACE LADY Makeup Sponge Professional Cosmetic Puff For Foundation Concealer Cream Make Up Blender Soft Water Sponge,SACE LADY,3,3209.84,
SACE LADY Matte Lipstick Makeup 23 Color Liquid Lipstick Red Nude Lip Tint Moisturizing Make Up Waterproof Long Lasting Cosmetic,SACE LADY,2,2336.84,
SACE LADY Perfect Stay 3 in 1 Makeup Set (SL236+SL331+SL601),SACE LADY,1,3500,1619.68
SACE LADY Primer Makeup Oil Control Matte Make Up Face Base Cream 24K Gold Professional Pores Foundation Primer Cosmetic,SACE LADY,6,7425.26,
Sace Lady Professional Full Face Cover Makeup Set (SL222+SL225+SL236),SACE LADY,14,54498.7,28143.92
Sace Lady Radiant Finish Face MakeUp Set  (SL236+SL241+SL265),SACE LADY,0,0,
Sace Lady Smokey Eye Makeup set (SL331+SL342+SL345),SACE LADY,1,3500,1694.28
Sace Lady Smooth Professional Face MakeUp Set   (SL234+SL265+SL236),SACE LADY,1,3600,1775.92
SHAARMS Star Magnetic Strap Women's Watch DY001,SHAARMS,1,2100,1113.16
SHAARMS Starry Sky Magnetic Straps Women's Watch DY002,SHAARMS,2,4600,2648
SHAARMS Watch HT828,SHAARMS,20,38000,23960
SHAARMS Watch SA6001,SHAARMS,3,6000,3846
SHAARMS Watch SA6078,SHAARMS,33,66000,38148
SHAARMS Watch SA6079,SHAARMS,41,82000,50840
SHAARMS Watch SA6102,SHAARMS,8,15200,10592
Simple Fashion Number Watches Quartz Canvas Belt Wrist Watch,CCQ,4,7600,3616
SKMEI COUPLE WATCH 9071,SKMEI,10,51600,34240
SKMEI Digital Sports Watch 1497,SKMEI,2,8800,5336
SKMEI Men's Digital Fashion Watch 1274,SKMEI,1,5900,3928
SKMEI Smart Watch Men & Women Bluetooth Wristwatches 1250,SKMEI,17,132600,86768
SKMEI Sport Men's Multi-functional Watch  1243,SKMEI,1,4500,2668
SKMEI Sport Watch Men Fashion Casual Alarm Clock Waterproof Military Chrono Dual Display Wristwatches,SKMEI,8,46400,29408
SKMEI Top Fashion Men's Leather Watch 9156,SKMEI,9,65700,42912
SKMEI Top Sport Men's Multi-functional Watch  1257,SKMEI,6,27000,15000
SOKI Business Watch Nylon Strap Analog Quartz Wrist Watch,SOKI,2,4600,2480
Trendsmax Punk Rock Stainless Steel Black Chain Spinner Men's Ring,Trendsmax,4,8000,4456
Trendsmax Stainless Steel Curb Cuban Link Men and Women Chain Bracelets,Trendsmax,28,57300,41776
Trendsmax Unisex Cuban Link Stainless Steel Chain Necklace,Trendsmax,24,75100,49920
Viennois Geometric Royalty Long Necklace,VIENNOIS,1,5200,3348.4
WARRIOR MEN SNEAKERS,WARRIOR,2,11000,
WARRIOR Running Style Fashion Men & Women Sneakers,WARRIOR,3,25500,16824
Warrior Sneakers 5278,WARRIOR,1,7300,4768
WARRIOR Sporty Men & Women Sneakers,WARRIOR,1,6500,4180
WARRIOR UNISEX SNEAKERS,WARRIOR,1,8100,
WARRIORS Athletic & Stylish Men & Women Sneakers,WARRIOR,2,22200,14744
Watch Box,Oriental Selected,5,5000,
WINNER Mechanical Skeletal Design WristWatch,WINNER,1,9100,6028
WINNER Mechanical Skeletal Design Wrist-Watch,WINNER,3,27300,18084
Winner Transparent Fashion Diamond Luminous Gear Movement Royal Design Luxury Male Mechanical Skeleton Wrist Watch,WINNER,8,68000,46880
YOOBAO Earphone YBL-2,Yoobao,3,7500,4602
