product_title,net_quantity,total_sales
CURREN 8225,22,121000
SKMEI 1250,11,85800
Gildan 76400,24,84000
CURREN 8329,6,60000
Necklace,17,53400
CURREN 8023,8,48000
SHAARMS SA6078,23,46000
SKMEI 9156,6,43800
Bracelets,20,42400
SHAARMS SA6079,19,38000
KINYUED 1012,3,52800
Gildan 63000,14,29400
Sace Lady Professional Full Face Cover Makeup Set,7,27300
CURREN 9015,5,26500
SKMEI 1257,5,22500
Sace Lady Flawless Face MakeUp Set,6,22200
GILDAN 76200,10,22000
MIGEER G2004,10,21000
CURREN 8301,2,17800
Bostanten B30242K,6,31600
FOCALLURE Illuminating Waterproof Full Face Coverage Makeup Set,3,14400
Sace Lady Daily Full Face Makeup Set,3,13500
MIGEER G2013,6,12600
MIGEER MG278,5,10000
SKMEI 1497,2,8800
Ring,4,8000
Focallure Professional Full & Medium Coverage Face Makeup Set,2,7600
Gildan 76700,2,5600
Sace Lady Smooth Professional Face MakeUp Set,1,3600
GILDAN HA30,1,3500
Gildan 76000,1,2500
